Имя: Мария
Пол: Женский
Возраст: 30 лет
Местоположение: Россия
Краткая предыстория: Живёт в Санкт-Петербурге, работает в сфере корпоративных финансов

Время        Занятие
07:30        Просыпается, пьет кофе
08:00        Проверяет почту, завтракает
09:00        Дорога на работу, читает новости
10:00        Приходит в офис, начинает рабочий день
13:00        Обеденный перерыв, обедает в кафе неподалёку
14:00        Возвращается к работе, отвечает на запросы коллег
16:30        Заканчивается рабочий день
17:00        Выходит с работы, едет домой
18:00        Приходит домой, готовит ужин
19:00        Ужинает вместе с семьёй
20:00        Смотрит сериал или читает, готовится ко сну
00:00       Ложится спать
